point,model,ols,nn3
0,19.434925079345703,19.435901641845703,19.435901641845703
1,18.719812393188477,18.67341423034668,38.84111785888672
2,17.80006217956543,17.79334259033203,29.956844329833984
3,16.969970703125,16.940513610839844,26.581878662109375
4,16.27280616760254,16.24702262878418,23.24553871154785
5,14.804178237915039,14.777878761291504,21.4637508392334
6,14.585512161254883,14.547141075134277,21.812225341796875
7,12.628562927246094,12.592662811279297,19.21727752685547
8,12.004409790039062,11.972587585449219,19.489757537841797
9,10.397241592407227,10.370370864868164,17.560985565185547
10,9.805373191833496,9.80899429321289,17.387269973754883
11,9.195321083068848,9.155252456665039,18.072036743164062
12,8.036237716674805,7.973580360412598,17.068225860595703
13,7.186934471130371,7.16775369644165,17.757179260253906
14,6.143470764160156,6.073318004608154,17.286243438720703
15,5.061924934387207,5.018320560455322,16.734527587890625
16,4.035892486572266,3.9708523750305176,16.294979095458984
17,3.0745272636413574,3.032365083694458,16.150604248046875
18,1.9749033451080322,1.8911212682724,15.44128704071045
19,1.210769772529602,1.0244048833847046,15.293675422668457
20,0.40973761677742004,6.368520189425908e-06,16.361358642578125
21,0.1612648218870163,6.68426564098823e-11,15.615477561950684
22,0.0750749260187149,1.5385236487586162e-11,16.012935638427734
23,0.04224254563450813,8.798786352293142e-12,15.22397232055664
24,0.03390255197882652,6.682461008156171e-12,15.438899993896484
25,0.025518611073493958,5.092898325287365e-12,14.910370826721191
26,0.02221396379172802,4.0825216471307435e-12,14.837662696838379
27,0.01943049766123295,3.5482040482842647e-12,14.598421096801758
28,0.01718958653509617,3.152667146441579e-12,14.521583557128906
29,0.015598339028656483,2.849178792202478e-12,14.73577880859375
30,0.01444715354591608,2.6900578119215535e-12,14.561485290527344
31,0.013486044481396675,2.512683203864663e-12,14.295138359069824
32,0.012475252151489258,2.7616574391903237e-12,14.097880363464355
33,0.012406319379806519,2.603773967269074e-12,14.80610466003418
34,0.011026193387806416,2.356831526814651e-12,13.758617401123047
35,0.010643168352544308,2.2919799738674307e-12,13.257332801818848
36,0.01081245020031929,2.1854102728868785e-12,13.776287078857422
37,0.010038558393716812,2.2609600823508824e-12,14.192543029785156
38,0.01024971716105938,2.237590755044261e-12,13.547050476074219
39,0.009888635948300362,2.0007600177313067e-12,13.448768615722656
40,0.009472683072090149,1.8784557243023414e-12,14.0219087600708
