point,model,ols,nn3,avg
0,20.002384185791016,19.99849510192871,19.99849510192871,19.99849510192871
1,19.058547973632812,18.971405029296875,40.362369537353516,404.36236572265625
2,18.53603744506836,18.4862060546875,30.603538513183594,207.62515258789062
3,17.065895080566406,17.021669387817383,26.816783905029297,140.91241455078125
4,16.002399444580078,15.964925765991211,23.889558792114258,104.98066711425781
5,15.118951797485352,15.09096908569336,22.50702476501465,84.33325958251953
6,14.139504432678223,14.123417854309082,21.181509017944336,70.60164642333984
7,12.959187507629395,12.920637130737305,19.901687622070312,60.36644744873047
8,12.255433082580566,12.210108757019043,19.365528106689453,53.79298400878906
9,11.272932052612305,11.210636138916016,19.33309555053711,47.927398681640625
10,10.076375007629395,10.042936325073242,18.505741119384766,42.339866638183594
11,9.09542465209961,9.047646522521973,17.88309097290039,39.091064453125
12,8.018122673034668,7.981840133666992,17.742719650268555,34.59869384765625
13,7.044310092926025,6.977961540222168,16.836502075195312,32.800201416015625
14,6.006831169128418,5.952876567840576,16.788755416870117,29.572288513183594
15,4.994887351989746,4.934257984161377,16.57681655883789,27.452735900878906
16,4.024537563323975,3.9450316429138184,16.88558578491211,25.87659454345703
17,3.1365561485290527,3.026374340057373,16.85700225830078,24.633277893066406
18,2.2147042751312256,2.0075197219848633,16.182064056396484,23.362445831298828
19,1.4181241989135742,1.0317528247833252,16.245254516601562,22.280860900878906
20,0.7645864486694336,5.338694677448075e-07,15.873929977416992,21.248472213745117
21,0.37680497765541077,7.124499601385281e-11,15.729106903076172,20.490083694458008
22,0.1751895248889923,1.5572461722901387e-11,15.819404602050781,19.098474502563477
23,0.08952784538269043,8.701157849788643e-12,15.254186630249023,18.105104446411133
24,0.050148751586675644,6.397793753110115e-12,15.33374309539795,17.771869659423828
25,0.03151165693998337,4.8087887838388355e-12,14.96265983581543,16.968935012817383
26,0.02262214384973049,4.181743926828796e-12,15.11844539642334,16.22337532043457
27,0.018332283943891525,3.5184409639260616e-12,15.169017791748047,15.650330543518066
28,0.013847540132701397,3.238679073189199e-12,15.055542945861816,15.0641508102417
29,0.011293447576463223,2.9791494791930884e-12,14.719242095947266,14.431230545043945
30,0.009855609387159348,2.7312032843673784e-12,14.667530059814453,13.863418579101562
31,0.010961923748254776,2.5921339727452697e-12,14.537826538085938,13.378934860229492
32,0.008535383269190788,2.76898686271676e-12,14.275150299072266,13.308327674865723
33,0.007909039966762066,2.648813460237598e-12,14.12330436706543,12.717409133911133
34,0.007118284236639738,2.5389245827261986e-12,14.305049896240234,12.243573188781738
35,0.006857484113425016,2.4288804474636994e-12,14.428182601928711,12.375492095947266
36,0.01585804484784603,2.2845965570728044e-12,14.323799133300781,11.798748016357422
37,0.006616421975195408,2.258716434375141e-12,14.249168395996094,11.581469535827637
38,0.006048556882888079,2.1890917897837703e-12,13.931751251220703,11.352243423461914
39,0.009001215919852257,2.1276118887525453e-12,13.942063331604004,10.885663032531738
40,0.010905666276812553,2.0222428332578035e-12,14.004293441772461,10.626973152160645
